org_cst_key,org_name,org_ogt_code,org_state_incorporated,n53_municipal_type,org_metropolitan_area_ext,org_fips_place_ext,org_prefix_ext,org_city_name_ext,org_fips_county_subdivision_ext
34183af0-9571-4af9-b874-0000cdf5786c,City of Escanaba,City,MI,City,21540,2626360,City of,Escanaba,NULL
69a2ef55-5e71-4b38-93f9-0001545b483e,Village of Loda,City,IL,Village,NULL,1744264,Village of,Loda,NULL
90d60306-b6f9-4643-a184-00029988ea81,City of Arcata,City,CA,City,21700,0602476,City of,Arcata,NULL
a9a81c2c-333d-4404-8cf1-0002edd1a1c9,City of Franklin,City,MO,City,NULL,2925624,City of,Franklin,NULL
f7012e99-db99-441e-9be4-00042e114f7b,Doxo,Private Sector Company,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2b85ea1f-17a2-47aa-8572-0009950245cd,City of Belle Glade,City,FL,City,NULL,1205200,City of,Belle Glade,NULL
5bc748f5-a369-4144-a1d9-0009b6bccc5d,Life Meets Work Inc.,Private Sector Company,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9fe2bdd8-8df0-48fe-805f-0009d75f504c,County of Davidson,County,NC,NULL,NULL,NULL,NULL,NULL,NULL
e9461043-ec26-43d4-9bc9-000a95c3865b,Town of Greenwood,City,NY,Town,NULL,3610130741,Town of,Greenwood,NULL
32cb69a8-0d58-4feb-b6e0-000aaf0271fa,City of Askov,City,MN,City,NULL,2702548,City of,Askov,NULL
5eb00920-6fb7-4f74-9351-000ad09d5cdb,Village of Fairwater,City,WI,Village,NULL,5525075,Village of,Fairwater,NULL
cbd7454e-2569-4399-9415-000c0d10f4db,Town of Barnet,City,VT,Town,NULL,5000502875,Town of,Barnet,NULL
455c0d95-4842-4177-9368-000cc9edfe41,Town of Moreau,City,NY,Town,NULL,3609148318,Town of,Moreau,NULL
8c0da74c-1f87-42ef-9c0d-001019a77617,Village of Hubbardston,City,MI,Village,NULL,2639660,Village of,Hubbardston,NULL
3eb1d12c-7f0b-42db-9899-001708f34cc4,Village of Nelson,City,IL,Village,NULL,1751947,Village of,Nelson,NULL
a067a0ee-5642-489c-8091-001f7d685af5,City of Okanogan,City,WA,City,NULL,5350920,City of,Okanogan,NULL
a714505a-f1cf-411d-ba3b-002617e8d678,Town of Neversink,City,NY,Town,NULL,3610549847,Town of,Neversink,NULL
ab65415c-5fea-4b9d-aa82-0027c815d24b,Town of Sudlersville,City,MD,Town,NULL,2475650,Town of,Sudlersville,NULL
c47769ee-ceec-4ae7-80bc-002862ca3297,Texoma Council of Governments,Civic Group/Non-profit,NULL,NULL,NULL,NULL,NULL,NULL,NULL
